sc_point_gid,class,capacity,capital_adder_per_mw,cf
156964,10,264.0,-52378.07,0.4335
156965,9,264.0,-51309.48,0.4235
156966,10,270.0,-42206.34,0.4421
156967,10,270.0,-34608.24,0.4461
156968,10,276.0,-45169.73,0.4465
156969,10,276.0,-47372.15,0.4411
156970,9,276.0,-25630.19,0.4219
156971,9,264.0,-30359.5,0.4158
156972,9,282.0,-23687.75,0.4166
156973,10,264.0,-15201.13,0.447
156974,10,270.0,-16246.71,0.4333
156975,8,270.0,2292.4,0.3874
156976,9,276.0,-4308.5,0.4022
156977,9,270.0,-14106.89,0.4032
156978,9,270.0,30088.52,0.4143
156979,9,264.0,76879.11,0.3969
156980,8,252.0,215736.11,0.3786
156981,8,252.0,189982.45,0.3848
156982,8,270.0,268291.77,0.3895
156983,9,264.0,216404.22,0.4087
156984,10,264.0,165756.62,0.4276
156985,9,258.0,139183.79,0.4259
156986,10,270.0,55666.03,0.4365
156987,10,276.0,46449.09,0.4331
156988,10,270.0,-9298.29,0.4283
156989,9,264.0,-42570.97,0.4143
156990,9,252.0,-46426.6,0.4048
156991,8,270.0,-42304.75,0.3872
156992,8,252.0,-38923.33,0.385
156993,8,258.0,-45051.82,0.3608
156994,7,258.0,-59431.85,0.3406
156995,7,258.0,-59744.07,0.3425
156996,7,246.0,-33152.43,0.3417
156997,7,246.0,-64269.84,0.3342
156998,6,234.0,-68493.72,0.3192
156999,6,246.0,-69756.72,0.3231
157000,6,270.0,-62996.07,0.327
157001,6,264.0,-65019.63,0.3271
157002,6,270.0,-48883.25,0.3216
157003,6,240.0,-36788.16,0.3253
157004,6,234.0,38983.31,0.3229
157005,7,108.0,129780.93,0.3474
157006,7,252.0,-10654.92,0.3351
157007,6,258.0,-77276.42,0.32
157008,6,246.0,-76492.56,0.3148
157009,6,252.0,-58610.04,0.3195
157010,6,258.0,-63400.75,0.3184
157011,6,264.0,-65471.73,0.3271
157012,6,252.0,-67102.6,0.3153
157013,6,264.0,-71338.37,0.2991
157014,5,246.0,-72768.19,0.2935
157015,6,258.0,-66430.67,0.3048
157016,6,240.0,-27136.25,0.2999
157017,6,204.0,-58032.71,0.3001
157018,5,252.0,-86184.5,0.2946
157019,6,252.0,-80226.19,0.3075
157020,6,264.0,-75022.85,0.3019
157021,6,258.0,-78112.18,0.3103
157022,6,240.0,-69916.74,0.3005
157023,6,264.0,-76551.48,0.3199
157024,6,258.0,-83336.75,0.3226
157025,6,258.0,-63382.38,0.3228
157026,6,264.0,-40822.77,0.3279
157027,6,246.0,-24928.35,0.3276
157028,7,216.0,-17392.93,0.3296
157029,7,234.0,-5518.41,0.3292
157030,7,246.0,-36632.51,0.3346
157031,7,246.0,-50225.3,0.3296
157032,6,246.0,-43590.4,0.3247
157033,6,252.0,-37266.03,0.3176
157034,6,228.0,-44610.95,0.3242
157035,6,252.0,-55705.11,0.3147
157036,6,258.0,-66914.27,0.3107
157037,6,270.0,-84455.34,0.3159
157038,6,264.0,-79733.0,0.3067
157039,5,258.0,-74085.56,0.2956
157040,5,264.0,-75272.71,0.2843
157041,6,258.0,-81199.6,0.2996
157042,6,270.0,-73813.22,0.3065
157043,6,258.0,-61793.62,0.3039
157044,6,234.0,-50260.39,0.3115
157045,5,216.0,-71788.14,0.2919
157046,5,240.0,-81072.53,0.2917
157047,5,210.0,-67317.82,0.2763
157048,5,234.0,-84117.12,0.2688
157049,5,246.0,-60378.26,0.2902
157050,6,264.0,-87830.56,0.2959
157051,5,246.0,-87112.29,0.2771
157052,5,270.0,-59230.2,0.2689
157053,5,258.0,-83765.72,0.2733
157054,5,258.0,-85364.32,0.2739
157055,5,240.0,-71041.31,0.2702
157056,4,240.0,-54774.81,0.2503
157057,4,198.0,101223.34,0.2463
157058,5,258.0,-5084.04,0.2669
157059,5,252.0,-69450.79,0.2766
157060,5,246.0,-74819.88,0.2768
157061,5,246.0,-65917.34,0.2662
157062,4,252.0,-57945.71,0.262
157063,5,234.0,43982.87,0.2789
157064,5,252.0,-23480.26,0.279
157065,4,252.0,-19619.03,0.2538
157066,4,264.0,-38773.05,0.2601
157067,6,258.0,-55898.36,0.2972
157068,5,252.0,-61712.96,0.2873
157069,5,246.0,-63910.36,0.2635
157070,4,252.0,-14110.73,0.2567
157071,4,252.0,-29304.11,0.2438
157072,4,240.0,-51308.45,0.2442
157073,4,252.0,-64348.08,0.2584
157074,5,234.0,-57326.55,0.2763
157075,5,240.0,-37025.27,0.2834
157076,5,216.0,-13437.83,0.2711
157077,4,258.0,16826.24,0.258
157078,5,258.0,-8280.38,0.2776
157079,5,246.0,-1851.12,0.2901
157080,6,264.0,-41857.85,0.31
157081,6,258.0,-32006.12,0.2979
157082,5,270.0,-79100.8,0.2746
157083,4,252.0,-53902.29,0.2527
157084,4,246.0,-76741.9,0.2546
157085,5,252.0,-83073.7,0.27
157086,5,246.0,-74899.25,0.2745
157087,4,246.0,-17539.29,0.2588
157088,5,228.0,244749.87,0.2677
157089,4,150.0,116251.38,0.2566
157090,5,258.0,-76592.74,0.2804
157091,5,252.0,-102403.11,0.2779
157092,5,252.0,-110263.53,0.2847
157093,5,246.0,-110947.37,0.2741
157094,5,240.0,-102933.18,0.2724
157095,5,228.0,-98548.77,0.2723
157096,5,258.0,-102681.66,0.2932
157097,5,258.0,-106487.61,0.2903
157098,5,234.0,-99238.79,0.2897
157099,5,252.0,-90733.34,0.2877
157100,5,258.0,-79625.27,0.2934
157101,6,240.0,-84875.92,0.3094
157102,6,246.0,-93379.22,0.3175
157103,6,240.0,-69038.71,0.3241
157104,6,246.0,-27977.63,0.3096
157105,6,246.0,-47601.47,0.3078
157106,6,228.0,-69195.33,0.3002
157107,6,252.0,-56807.51,0.3012
157108,6,246.0,-45261.02,0.3011
157109,6,228.0,-50031.3,0.2976
157110,6,240.0,-49337.79,0.2966
157111,6,222.0,21737.01,0.2994
157112,6,114.0,89367.18,0.3023
157113,6,102.0,1322545.2,0.3258
157114,6,204.0,261283.41,0.3128
157115,7,48.0,351982.94,0.334
157533,4,60.0,84024.93,0.2334
157534,4,36.0,144876.49,0.2393
157538,4,204.0,1168.77,0.2326
157539,3,240.0,-8382.03,0.2199
157540,3,270.0,-13831.33,0.1892
157541,2,252.0,-14313.07,0.1873
157542,4,288.0,-28270.3,0.2374
157543,3,258.0,-23624.67,0.2081
157544,3,246.0,-22157.44,0.1972
157545,3,264.0,-30115.34,0.2078
157546,2,264.0,-27744.28,0.1825
157547,2,246.0,-16674.02,0.1711
157548,2,174.0,9802.86,0.1829
157549,2,174.0,83212.01,0.1756
157550,2,216.0,231561.26,0.1641
157551,2,144.0,1437143.97,0.1833
157552,2,36.0,3668738.35,0.1527
157554,4,150.0,84000.5,0.261
157555,2,252.0,5347.6,0.1679
157556,2,246.0,16661.67,0.1609
157557,3,246.0,-40722.0,0.1907
157558,5,204.0,-25790.6,0.2793
157559,4,276.0,-45075.75,0.2504
157560,2,234.0,-10505.59,0.1717
157561,3,270.0,-20140.96,0.2151
157562,5,282.0,-34415.61,0.2853
157563,3,270.0,-38973.58,0.1981
157564,2,246.0,-40246.14,0.1524
157565,2,270.0,-43018.42,0.1819
157566,3,282.0,-40187.35,0.2074
157567,5,288.0,-41104.23,0.2758
157568,3,258.0,-30200.51,0.1879
157569,3,198.0,-9410.29,0.198
157570,2,198.0,-9348.25,0.1812
157571,3,252.0,-24429.67,0.2136
157572,5,264.0,-7968.7,0.2649
157573,5,258.0,13716.73,0.2924
157574,5,252.0,-366.8,0.2715
157575,4,246.0,6096.54,0.2453
157576,5,270.0,-9630.0,0.2835
157577,5,264.0,-7743.37,0.2887
157578,5,264.0,-5588.98,0.2789
157579,7,282.0,879.89,0.3406
157580,5,276.0,-13073.33,0.2886
157581,4,264.0,-12345.07,0.2574
157582,3,258.0,30527.29,0.2085
157583,4,246.0,5431.22,0.2314
157584,4,210.0,23639.93,0.2579
157585,3,234.0,38435.01,0.2117
157586,3,252.0,40447.94,0.1903
157587,3,282.0,1028.66,0.2265
157588,5,252.0,-9694.04,0.292
157589,3,216.0,115101.82,0.2245
157590,3,180.0,585143.87,0.2128
157591,3,204.0,98625.28,0.2107
157592,3,246.0,97563.64,0.1949
157593,2,228.0,167310.65,0.1734
