sc_point_gid,class,capacity,capital_adder_per_mw,cf
52980,1,2610.06,-68873.67,0.2319
52981,1,2307.24,-69045.05,0.2317
52983,1,1643.17,-60644.45,0.2321
52984,1,1293.88,-66079.38,0.2315
52985,1,976.98,-65441.88,0.2313
52986,1,598.84,-66775.52,0.2314
52987,1,332.48,-66287.79,0.2315
53192,1,92.65,-9469.95,0.2096
53193,1,1945.51,-10647.91,0.2097
53194,1,1119.62,-10986.69,0.2091
53195,1,5160.78,-10399.5,0.2104
53196,1,5359.49,-9829.35,0.2111
53197,1,4861.64,-9030.59,0.2109
53198,1,4794.49,-9142.73,0.2106
53199,1,5258.39,-8041.61,0.2118
53200,1,5186.95,-6442.52,0.2128
53201,1,4871.04,-9281.0,0.213
53202,1,4739.07,-9575.6,0.2131
53203,1,3507.73,-8508.3,0.2131
53204,1,4060.92,-8807.96,0.2137
53205,1,4223.74,-7491.03,0.213
53206,1,4528.11,-6691.96,0.2139
53207,1,4082.71,-2410.82,0.2134
53208,1,1218.75,4682.12,0.2112
53524,1,4119.31,37367.9,0.1863
53525,1,5591.97,15398.5,0.1905
53526,1,5589.85,19599.3,0.1966
53527,1,5291.93,69908.64,0.1924
53528,1,4724.32,89041.68,0.1889
53529,1,4909.27,45416.42,0.1875
53530,1,5452.93,42029.64,0.1898
53531,1,4881.95,63247.38,0.1909
53532,1,4016.03,58614.05,0.1958
53533,1,4500.95,46300.89,0.1964
53534,1,2933.55,50993.79,0.1989
53535,1,2844.08,11576.71,0.2031
53536,1,1676.93,102985.02,0.2014
53537,1,1118.41,50220.33,0.2089
53538,1,1499.79,37151.28,0.221
53539,2,201.62,28616.02,0.246
53540,2,2746.27,23099.63,0.2562
53541,2,4720.16,12485.13,0.2572
53542,3,1736.62,9184.48,0.2592
53543,2,2433.61,9179.62,0.2567
53544,2,1175.62,-314.89,0.2576
53545,3,5522.15,38550.91,0.2588
53546,3,5554.11,-6110.05,0.2647
53547,3,4911.05,-15441.34,0.2614
53548,2,4518.96,3897.4,0.2562
53549,2,5521.53,37055.72,0.2555
53550,2,5181.83,3822.75,0.2566
53551,2,4057.13,-8698.46,0.2562
53552,2,2858.43,57903.26,0.2537
53553,2,5322.2,205585.99,0.2553
53554,2,5532.88,-11802.65,0.2555
53555,2,5644.08,-39460.2,0.2569
53556,3,5667.48,-43420.45,0.2576
53557,2,5675.33,-45198.25,0.257
53558,2,5662.17,-45770.48,0.2554
53559,2,5584.82,-47256.71,0.2532
53560,2,5518.15,-50109.25,0.2516
53561,2,4887.78,-49332.05,0.2489
53562,2,4529.03,-50497.86,0.2479
53563,2,4515.01,-43450.87,0.2448
53564,2,4751.07,-23331.15,0.2424
53565,2,5055.04,-35229.04,0.241
53566,2,5574.37,-34084.63,0.2371
53567,1,5610.37,-24683.18,0.2316
53568,1,5554.04,-29081.18,0.2261
53569,1,4043.22,-3109.3,0.223
53570,1,4400.3,-16181.2,0.221
53571,1,4212.89,-28042.13,0.216
53572,1,4156.79,-21602.15,0.2105
53573,1,4712.76,4870.14,0.2085
53574,1,3907.62,-5533.93,0.2097
53575,1,5501.09,-32178.78,0.2089
53576,1,3462.8,-30222.01,0.2075
53577,1,4290.61,-26834.64,0.2132
53578,1,5087.33,-11831.7,0.2103
53579,1,1950.65,57189.69,0.2048
53580,1,2022.49,-16919.42,0.2143
53581,1,4178.38,6858.56,0.2132
53582,1,3849.93,9712.19,0.2146
53583,1,4914.43,9175.65,0.221
53584,1,5416.47,95818.29,0.2198
53585,1,5691.67,46851.59,0.2208
53586,1,4534.98,148495.11,0.2187
53587,1,1267.64,199569.02,0.2135
53588,1,1204.21,84132.72,0.2166
53589,1,4050.43,73320.55,0.2103
53590,1,1933.04,-6976.75,0.2065
53591,1,3254.81,3325.53,0.2054
53592,1,2254.02,22136.11,0.2069
53593,1,1449.81,-13032.59,0.2081
53597,1,2425.52,-3436.66,0.2314
53598,2,2572.49,-1975.69,0.2337
53599,2,5401.16,-2508.31,0.2347
53600,2,5605.87,4086.72,0.2372
53601,2,5553.5,15667.06,0.238
53602,2,5529.18,20846.69,0.2378
53603,2,5500.87,7662.43,0.2379
53604,2,5470.55,14120.13,0.238
53605,2,5516.53,12331.37,0.2379
53606,2,5634.44,-2204.35,0.2374
53607,2,5674.17,-971.8,0.2377
53608,2,5324.95,-8042.54,0.2382
53609,2,5175.49,-7801.55,0.2383
53610,2,5445.02,-3058.54,0.2383
53611,2,5610.7,7036.86,0.2378
53612,2,5649.91,4096.99,0.2374
53613,2,5451.72,-755.77,0.2359
53614,2,5571.7,-8334.93,0.2348
53615,1,5472.82,-11200.58,0.2316
53616,1,5116.71,-29716.0,0.2312
53617,2,4981.56,-19741.15,0.2334
53618,2,5071.05,-26732.57,0.2347
53619,2,5556.6,-26784.31,0.2352
53620,2,5519.62,-33865.36,0.2361
53621,2,5633.1,-40379.73,0.2364
53622,2,5578.62,-39971.84,0.2363
53623,2,5044.06,-16535.76,0.2358
53624,2,3926.01,-29089.88,0.2359
53625,2,4813.81,-27883.59,0.2372
53626,2,4308.53,-50026.29,0.2378
53627,2,4509.95,-54053.92,0.2386
53628,2,3410.06,-50834.1,0.2369
53629,2,2874.07,-51419.98,0.2372
53630,2,1998.63,-50107.91,0.2362
53631,2,4076.97,-52675.87,0.2347
53632,2,5433.86,-54539.67,0.235
53633,2,4977.09,-62420.84,0.2355
53634,2,3318.33,-68057.56,0.2359
53635,2,1138.43,-67798.06,0.2357
53636,2,1416.5,-67926.16,0.236
53637,2,4462.4,-69347.09,0.2359
53638,2,5425.48,-69758.82,0.2364
53639,2,5387.47,-70176.41,0.2354
53640,2,5559.73,-70368.53,0.2345
53641,2,5453.98,-71077.57,0.2347
53642,2,5578.06,-73077.07,0.2339
53643,2,5450.77,-73516.87,0.2343
53644,2,5659.93,-74353.31,0.2348
53645,2,5614.1,-74868.26,0.2334
53646,1,5571.73,-65198.1,0.2319
53647,2,5674.87,-64742.57,0.2337
53648,2,5676.29,-63557.8,0.2384
53649,2,5640.47,-63217.71,0.2377
53650,2,5525.74,-58501.01,0.2373
53651,2,5633.53,-63435.71,0.2373
53652,2,5662.46,-65311.1,0.2372
53653,2,4742.37,-64541.15,0.2348
53654,2,5152.62,-59392.89,0.2345
53655,2,5045.95,-61975.28,0.2345
53656,2,4679.52,-63374.48,0.2345
53657,2,4971.61,-66075.81,0.2346
53658,2,5302.12,-65066.69,0.2337
53659,1,5386.34,-64913.66,0.2321
53660,2,5125.01,-63763.81,0.2335
53661,1,4983.87,-68823.12,0.2326
53662,1,4802.21,-65972.88,0.2319
53663,1,4597.24,-67960.59,0.2325
53664,1,4985.75,-68357.24,0.2324
53665,1,5342.35,-68271.22,0.2322
53666,1,4652.56,-70958.81,0.2322
53667,1,5482.25,-64495.25,0.2324
53668,1,5485.45,-66125.08,0.2317
53669,1,5408.31,-65031.43,0.2314
53670,1,5355.78,-66653.35,0.2315
53671,1,5310.31,-65347.87,0.2314
53672,1,4857.97,-63670.65,0.2314
53673,1,4044.84,-60891.66,0.2312
53674,1,4841.9,-62506.28,0.2299
53675,1,4691.61,-60544.61,0.2299
53676,1,3681.9,-58406.2,0.2304
53677,2,2866.82,-55892.71,0.2338
53678,1,2580.01,-56067.99,0.2327
53679,1,2757.68,-61198.9,0.2326
53680,1,2275.18,-59478.85,0.2328
53681,1,2476.86,-55596.5,0.2326
53682,1,2833.42,-61242.71,0.2314
53683,1,2697.17,-61354.34,0.2306
53684,1,2228.24,-63232.35,0.2296
53685,1,2195.53,-62499.35,0.2291
53687,1,1896.73,-53847.24,0.2291
53688,1,1921.84,-52984.03,0.2287
53689,1,1713.09,-55284.56,0.2285
53690,1,1588.41,-53575.64,0.2282
53691,1,1310.65,-54396.82,0.2289
53692,1,1295.14,-51773.58,0.2286
53693,1,1214.86,-48335.01,0.2269
53694,1,1153.58,-36339.12,0.2265
53695,1,841.76,-41568.17,0.2264
53696,1,852.16,-43083.22,0.2259
53697,1,787.75,-36320.5,0.2257
53698,1,787.8,-38610.33,0.2254
53701,1,312.43,-37860.58,0.2266
53702,1,236.2,-37120.51,0.2262
53703,1,99.26,-36638.25,0.2269
53705,1,126.39,-29095.73,0.2251
53706,1,277.93,-28045.63,0.224
53707,1,10.69,322299.17,0.2264
53708,1,91.46,-26466.7,0.2259
53709,1,53.45,61051.22,0.221
53710,1,21.7,205910.34,0.2189
53877,1,3006.25,-9500.34,0.2096
53878,1,4572.14,-12157.29,0.2085
53879,1,4855.02,-8257.22,0.2095
53880,1,5139.92,-8381.2,0.2117
53881,1,4617.65,-7704.55,0.2107
53882,1,4274.47,-8414.83,0.2126
53883,1,4415.07,-7785.55,0.2126
53884,1,4613.83,-8574.09,0.2132
53885,1,4195.29,-9122.28,0.2145
53886,1,3776.55,-8607.65,0.2129
53887,1,3704.5,-8695.55,0.2132
53888,1,4389.23,-9706.07,0.2131
53889,1,4143.56,-7840.05,0.2124
53890,1,4697.09,-5087.12,0.2119
53891,1,4113.94,-675.28,0.2122
53892,1,2614.44,24737.25,0.2109
54205,1,4277.97,84323.36,0.1878
54206,1,5223.05,105219.06,0.1883
54207,1,5224.89,53126.32,0.1921
54208,1,2780.05,92070.66,0.1918
