sc_point_gid,class,capacity,capital_adder_per_mw,cf
106371,2,1020.8,57178.57,0.2574
106372,2,1226.89,20014.84,0.2566
106373,2,1223.86,13816.38,0.2562
106374,2,754.17,42886.01,0.2568
106375,2,755.82,17797.84,0.2566
106376,2,634.62,-36314.26,0.2562
106377,2,457.81,-43626.8,0.2561
106378,2,632.92,-42954.5,0.2556
106379,2,855.63,-23938.24,0.2552
106380,2,1107.87,-33801.06,0.2547
106381,2,1606.13,-23338.52,0.2539
106382,2,2286.5,-10194.31,0.2533
106383,2,1844.43,-16503.23,0.254
106384,2,1155.92,-29862.93,0.2537
106385,2,584.98,-34346.1,0.2533
106386,2,1312.33,-17289.71,0.2524
106387,2,1861.85,-5143.48,0.252
106388,2,1857.41,9882.88,0.2521
106389,2,1665.64,13883.73,0.2518
106390,2,1911.52,12198.9,0.251
106391,2,2360.37,23012.71,0.2497
106392,2,2310.53,15505.66,0.2508
106393,2,1871.12,25151.92,0.2502
106394,2,2240.76,9781.27,0.2499
106395,2,2513.69,21059.84,0.2497
106396,2,2291.25,26799.79,0.2493
106397,2,2357.2,22546.52,0.2486
106398,2,2401.41,25580.52,0.2481
106399,2,1792.85,98445.99,0.248
106400,2,1440.0,27049.1,0.2477
106401,2,983.47,-6295.46,0.2477
106402,2,1177.03,25142.09,0.2471
106403,2,1368.92,24241.76,0.2476
106404,2,1954.71,22643.89,0.2474
106405,2,1665.3,43580.26,0.2472
106406,2,792.46,24510.57,0.2479
106407,2,1050.45,-1461.16,0.2479
106408,2,1127.0,-199.89,0.2473
106409,2,1540.13,8760.35,0.2465
106410,2,1163.48,2930.58,0.2464
106411,2,1506.44,-9837.85,0.2475
106412,2,1148.26,-5575.54,0.2475
106413,2,1159.42,-11168.74,0.247
106414,2,614.21,4152.68,0.2475
106415,2,1471.09,9285.8,0.2471
106416,2,1463.66,11783.25,0.2476
106417,2,1019.28,-333.42,0.2474
106418,2,1318.33,9880.9,0.2478
106419,2,941.52,14340.44,0.2469
106420,2,1184.63,98329.99,0.2435
106421,2,898.47,39132.92,0.2463
106422,2,537.06,2811.99,0.2468
106423,2,498.08,4932.09,0.2469
106424,2,493.98,9118.91,0.2463
106425,2,526.35,12524.98,0.246
106426,2,538.01,17234.53,0.245
106427,2,552.73,43792.67,0.2453
106428,2,400.14,20351.73,0.2452
106429,2,372.46,21278.13,0.2449
106430,2,359.97,24250.18,0.2447
106431,2,611.98,27517.64,0.2442
106432,2,564.62,26819.53,0.2435
106433,2,430.27,29268.85,0.2432
106434,2,693.67,23736.39,0.2431
106435,2,578.31,16446.57,0.243
106436,2,546.05,12012.7,0.2433
106437,2,634.71,10930.56,0.243
106438,2,630.1,4982.74,0.2426
106439,2,918.85,944.84,0.2415
106440,2,1111.22,7563.87,0.2415
106441,1,715.69,-15171.9,0.2397
106442,1,1386.84,-1904.42,0.2395
106443,1,841.49,-20600.95,0.2396
106444,1,659.61,-36004.29,0.2393
106445,1,760.78,-23906.97,0.2396
106446,1,575.02,-43906.82,0.2393
