r,md5,node_lat,node_lon
p18071,cbd3de5cb26d714be8c306541e7f3509,38.90640269,-86.03751202
p18073,8138a8468133863b08806cde29342a09,41.02273284,-87.11618808
p18075,0bbe3f9c489c409d1d6e229ccd23ab00,40.43788657,-85.00564389
p18077,5aca824c107cec453babb8f014aa93d1,38.78574863,-85.4386562
p18079,2621c58bc55296ad5035c73e74ff76ca,38.99686131,-85.62813769
p18081,fb4d518989bdeae9784d99c398f86f1f,39.48989598,-86.10163398
p18083,78b8d6620afcd434a4b7fb41b22e595b,38.688966,-87.41825384
p18085,35c04340bf1ee3538ee7751f2872b539,41.24395419,-85.86073391
p18087,756a2394d3f7efdf3bfa8c273ab24f03,41.64260314,-85.42649514
p18089,9da3bbc7c90afeae7fe153b1ff238c35,41.41687304,-87.38218817
p18091,8d9d4a6ada2203326292becd8a961dc9,41.54579569,-86.74009634
p18093,4bdef5fb6ba59b1bfe0db68275c452ab,38.84111064,-86.48345932
p18095,b8ddd4e23c3d98fe4c4c61177afffac2,40.16145096,-85.71934267
p18097,1016525395a57d3582edf0b6402ff848,39.78165431,-86.13847671
p18099,c4896e2b7f31bdb285363d1ef8ce327e,41.32478017,-86.26175946
p18101,91129851a366bb9990d7d0ad5808678e,38.70785853,-86.80308355
p18103,c2b8ebbde383625a81ba05a0f7b7192d,40.76927435,-86.04497141
p18105,adad0f2b196a1ed3e3b9d9025c397132,39.1608065,-86.52310973
p18107,bdc087430791230685fcfa24acfc7ec0,40.04028019,-86.89329506
p18109,0dacff7f88d2efe2d6190327ca13d283,39.48150949,-86.44622132
p18111,cac8ec2e0e8d39ca1612df964d942c01,40.95561651,-87.39753985
p18113,ca9eac0c76de0cab71d5b50951fe4c5f,41.39858169,-85.41744519
p18115,0caaa766dc911a0ba41070269c4a9758,38.95010637,-84.96506197
p18117,1452f0389a6958d1dde205a3c5d29495,38.5417275,-86.49506851
p18119,f41ba39ddd5e6fba9016468c5964b05a,39.31274847,-86.83773548
p18121,0845e4af78488cb5bacf0cbf68305d08,39.77352141,-87.20632877
p18123,8bd3e786ec96aa813bd2c1bbb1117679,38.07953032,-86.63803209
p18125,f2853e5de732df8a70c4ca081fc81119,38.39871958,-87.23209304
p18127,35109f5ad05b4af6bf2f9279ef9d145c,41.46035854,-87.06725529
p18129,181ec6b7c833c0340d5120dba27c3bb0,38.02165,-87.86858507
p18131,2635749c5721bb3d5021ce2144ca0146,41.04181395,-86.69877569
p18133,144c3b4225a9a22590d2e9b5392007a4,39.66611466,-86.84499021
p18135,8d5c2ad003c431f38dfd7c65e0f3d2eb,40.15758058,-85.01131121
p18137,69e6b62c2088742add07e1ea717d68e8,39.10333225,-85.26247513
p18139,66d83a2d2a6d2bd6265c95aa833b121b,39.61985096,-85.46575519
p18141,2302d39c909793e04e6b01806c3bd60d,41.61667151,-86.28987105
p18143,c490f96bbae13d62132dda54ef1ec86e,38.68504598,-85.74746922
p18145,74df7f44a49a4ceaee2a955bd1e9d705,39.52357999,-85.79169576
p18147,41371be284c70c592049717c38e42081,38.01393339,-87.00795771
p18149,681edca905f93d0d1ddd5f82b0385bae,41.28089771,-86.64774706
p18151,0b1a9804a1661ef758a1f76011b7ceb8,41.64384583,-85.00076208
p18153,409072cb60e202d2797a91e395909240,39.0887365,-87.41465599
p18155,0abf05b2c2c603eaaa68e9b8526393bc,38.8261353,-85.03703155
p18157,765812833515fce06c971624f85391da,40.38851902,-86.89409295
p18159,1f33f9a831253704b1f9d34523f001ae,40.31134867,-86.05185796
p18161,03b6e2856f286e362632584b8574146e,39.62551072,-84.92513807
p18163,d5a44bdaee01bac1c4490d1aded4c0d8,38.02475476,-87.58584942
p18165,825ab77fe4eb3419db2fc9c6ceff7146,39.85349279,-87.46394567
p18167,676146e02384d1b95d54608ca2c60009,39.43051926,-87.39002157
p18169,b0cf1ee86c16266cb50942fcaac40fe8,40.84553013,-85.79398859
p18171,5c268beaeaed497f6d7b38ed84745895,40.3468446,-87.35343997
p18173,9ebd41e6cbc1e14780805f6fc0d65867,38.09212695,-87.27214084
p18175,ca5d2301e833bedfa62053bb8210da20,38.59991402,-86.1053299
p18177,8288eb462e80418e70a393d245a984ce,39.86437041,-85.00987962
p18179,05b021ab5bf481558d40ac9cc81d95e5,40.72905625,-85.22127518
p18181,2ccec25c9dd14baf6eefcf64304fa638,40.74969974,-86.86561843
p18183,39b32d49a6b7d7d5981327098590b413,41.13931858,-85.50512542
p19,3c7abc591eb9e683ef213f134f800a8b,47.83145626,-106.82890126
p19001,5f2150c49f5aa191fdee5f8d26c3e50e,41.33066044,-94.47093355
p19003,1a81859544a7eff3e599b8c322559c00,41.02896755,-94.69918407
p19005,b164b8c8c0edca0bd7748490013cc79b,43.28410088,-91.37803203
p19007,4ef124d6f895ab6b274819566be43b12,40.74311274,-92.86860934
p19009,3883cd645fd2fd862058839841a60f97,41.68446188,-94.90576982
p19011,4839e9401ca59a31a153bfc202e3971e,42.0799899,-92.06573071
p19013,edd6a7e04e7f4dd932a5c44f282f9b4e,42.47000545,-92.30879614
p19015,a4e1d10a7a8bc2dae8f3d9936475502f,42.03641298,-93.93163457
p19017,6d3b4379cb470122a94f95b809910011,42.77456331,-92.31805507
p19019,16d459c4b261f3015061a7cc7362851c,42.47069203,-91.83782697
p19021,159fc249207cc45fd95a7e17308aaba1,42.73539741,-95.15115001
p19023,7c9758f23dd298c91fc4bef194ac9b7b,42.73146765,-92.79019506
p19025,69ceed2a4ffe2ae23f8abf71d534a4bd,42.38508963,-94.64036268
p19027,fee63dbf9ecae028b17151670b5945ff,42.03614162,-94.86055336
p19029,dffa5b524eb9e13af2378a34612ddc03,41.33140049,-94.92782041
p19031,e57d5fa2d518200b6e8115f6161768e1,41.77223543,-91.13241988
p19033,41de57ab08378f2242821fadf055128b,43.08146131,-93.26082048
p19035,cd7c61ef36c7ef4733b4f88fa19f403e,42.73552586,-95.62380776
p19037,7278d0d386dcc62e9c1bd86449fd41de,43.0599829,-92.31766415
p19039,16a8df1b9fc4ed0c3af66ea89567b0bb,41.02901898,-93.78518961
p19041,8d297a658bd8918ca2428789005950df,43.08248504,-95.15092181
p19043,60d2f1e9a5d618bdc95426f85848c724,42.8445721,-91.34128349
p19045,d69fe70acfb29c30d1a8a7735bc53b58,41.89810259,-90.53198695
p19047,2979158b9c1e72755a8961f03e3580f5,42.03715909,-95.38196876
p19049,ae93f6696a2a89b67aa6fb45092eded7,41.68475976,-94.0397281
p19051,1464c98e03f4acaaa81a96ada1b8c61c,40.74764052,-92.40971888
p19053,7558a03211f17086e4b8d0fbd35e9a6a,40.73762244,-93.78628404
p19055,850618e22f83f152773d2a3e51168812,42.47112211,-91.36734024
p19057,7cbaaa9b7b79120a7e12db5b2e51137f,40.92308384,-91.18153519
p19059,ee3e2bda9df62dc0c091db891154cf34,43.37797119,-95.1508331
p19061,07662abf6d1635f05215d0614a1b6329,42.46874061,-90.88249178
p19063,26c79831bb09706f44a4e975518b1997,43.37800882,-94.67848162
p19065,fe6f3afebbe889231eac68c1ba5f8815,42.86240188,-91.84432611
p19067,7fc67a493d49abe6d0500d56675f41b2,43.05985238,-92.78900357
p19069,301f15170f8fa6dfaac42989e3eed1af,42.73244738,-93.26247643
p19071,04c8c4a7a2d66b7cc814225d70159d9b,40.74553265,-95.60464349
p19073,76d90b75c6cfb51ac5f82f265b06a6d7,42.03615155,-94.39681733
p19075,58efaf15321bf4da55b2e668b73657c3,42.40179406,-92.79147279
p19077,39d50f6c9228b8f3c8830c18b8f91ab2,41.68365203,-94.50100408
p19079,e5c6f944080958c264936693c43f8aaa,42.38368614,-93.70676153
p19081,6944d4d43c2ec200647b67e58153a123,43.08178995,-93.73427603
p19083,998749ae2645e937d51a544fd23946a6,42.38378366,-93.24037242
p19085,3b711f9b6132fbe397bc5ff44c46133a,41.68278371,-95.81687501
p19087,db4b852fceaa5260e33e1cfcfe37fbb9,40.98785197,-91.54452972
p19089,cf9bc13940118ba0d4b4e85f5c3d4c87,43.35672287,-92.31720073
p19091,d26f2e40e165eba24032e5767061c60c,42.77644483,-94.20718569
p19093,f8fe87eaaf9de9b65de232bcb8dd7e3d,42.38674886,-95.51342905
p19095,7d49c3e7fa0a529bbcd35b3c858e886e,41.6862293,-92.06552012
p19097,e8cb0ac59a9744f498ee353068cbcecb,42.17174091,-90.57414843
p19099,b7aac14e2832a77b58342af7b6342de6,41.68598477,-93.05375595
p19101,e64cacc12d96e7d6fda6e292ffc84bf4,41.0317417,-91.94886967
p19103,b091041b6a9c7b39ba303f8d4c950e4a,41.6713992,-91.58803049
p19105,fa4181f0908262b9a921cbf04f821dc6,42.12113297,-91.13146005
