*i,month,r,value
hydD,DEC,p84,0.727
hydD,DEC,p85,0.657
hydD,DEC,p86,0.68
hydD,DEC,p87,0.712
hydD,DEC,p88,0.756
hydD,DEC,p89,0.744
hydD,DEC,p9,0.649
hydD,DEC,p90,0.756
hydD,DEC,p91,0.759
hydD,DEC,p92,0.755
hydD,DEC,p93,0.719
hydD,DEC,p94,0.753
hydD,DEC,p95,0.746
hydD,DEC,p96,0.755
hydD,DEC,p97,0.754
hydD,DEC,p98,0.707
hydD,DEC,p99,0.695
hydD,FEB,p1,0.744
hydD,FEB,p10,0.558
hydD,FEB,p100,0.697
hydD,FEB,p101,0.696
hydD,FEB,p103,0.705
hydD,FEB,p104,0.798
hydD,FEB,p105,0.698
hydD,FEB,p106,0.63
hydD,FEB,p107,0.669
hydD,FEB,p108,0.778
hydD,FEB,p109,0.701
hydD,FEB,p110,0.662
hydD,FEB,p111,0.637
hydD,FEB,p112,0.699
hydD,FEB,p113,0.651
hydD,FEB,p114,0.654
hydD,FEB,p115,0.746
hydD,FEB,p116,0.734
hydD,FEB,p117,0.688
hydD,FEB,p118,0.699
hydD,FEB,p119,0.723
hydD,FEB,p12,0.457
hydD,FEB,p121,0.691
hydD,FEB,p122,0.74
hydD,FEB,p123,0.693
hydD,FEB,p126,0.758
hydD,FEB,p127,0.733
hydD,FEB,p129,0.693
hydD,FEB,p130,0.711
hydD,FEB,p131,0.754
hydD,FEB,p132,0.754
hydD,FEB,p134,0.656
hydD,FEB,p14,0.495
hydD,FEB,p15,0.487
hydD,FEB,p16,0.431
hydD,FEB,p17,0.569
hydD,FEB,p18,0.462
hydD,FEB,p19,0.411
hydD,FEB,p2,0.716
hydD,FEB,p20,0.467
hydD,FEB,p21,0.386
hydD,FEB,p24,0.436
hydD,FEB,p25,0.485
hydD,FEB,p26,0.532
hydD,FEB,p27,0.536
hydD,FEB,p28,0.625
hydD,FEB,p3,0.633
hydD,FEB,p31,0.392
hydD,FEB,p32,0.535
hydD,FEB,p33,0.499
hydD,FEB,p34,0.455
hydD,FEB,p35,0.51
hydD,FEB,p36,0.532
hydD,FEB,p38,0.518
hydD,FEB,p39,0.458
hydD,FEB,p4,0.74
hydD,FEB,p40,0.502
hydD,FEB,p41,0.541
hydD,FEB,p42,0.504
hydD,FEB,p43,0.639
hydD,FEB,p44,0.342
hydD,FEB,p45,0.487
hydD,FEB,p46,0.566
hydD,FEB,p48,0.372
hydD,FEB,p5,0.851
hydD,FEB,p50,0.498
hydD,FEB,p51,0.443
hydD,FEB,p52,0.569
