name,MW,year_online,trtype,certain,from_lon,from_lat,to_lon,to_lat
z134:p37~~p43,100000,0,VSC,0,-99.0387572,47.69809765,-93.66196443,46.24990794
z134:p38~~p39,100000,0,VSC,0,-99.80784462,44.48705973,-102.67501629,41.72626681
z134:p38~~p40,100000,0,VSC,0,-99.80784462,44.48705973,-99.17013321,41.52133825
z134:p38~~p43,100000,0,VSC,0,-99.80784462,44.48705973,-93.66196443,46.24990794
z134:p38~~p44,100000,0,VSC,0,-99.80784462,44.48705973,-95.74043708,44.41229814
z134:p38~~p45,100000,0,VSC,0,-99.80784462,44.48705973,-95.03227389,42.42197121
z134:p39~~p40,100000,0,VSC,0,-102.67501629,41.72626681,-99.17013321,41.52133825
z134:p40~~p41,100000,0,VSC,0,-99.17013321,41.52133825,-96.33443022,40.9564524
z134:p40~~p45,100000,0,VSC,0,-99.17013321,41.52133825,-95.03227389,42.42197121
z134:p40~~p52,100000,0,VSC,0,-99.17013321,41.52133825,-101.03458436,38.75868385
z134:p41~~p45,100000,0,VSC,0,-96.33443022,40.9564524,-95.03227389,42.42197121
z134:p41~~p53,100000,0,VSC,0,-96.33443022,40.9564524,-97.49793745,38.39157084
z134:p41~~p54,100000,0,VSC,0,-96.33443022,40.9564524,-93.97419616,39.67019964
z134:p41~~p70,100000,0,VSC,0,-96.33443022,40.9564524,-92.64864641,41.54815458
z134:p42~~p43,100000,0,VSC,0,-95.4965009,48.01572924,-93.66196443,46.24990794
z134:p43~~p44,100000,0,VSC,0,-93.66196443,46.24990794,-95.74043708,44.41229814
z134:p43~~p46,100000,0,VSC,0,-93.66196443,46.24990794,-91.36892425,45.47227184
z134:p43~~p68,100000,0,VSC,0,-93.66196443,46.24990794,-93.78878598,43.84993423
z134:p44~~p45,100000,0,VSC,0,-95.74043708,44.41229814,-95.03227389,42.42197121
z134:p44~~p68,100000,0,VSC,0,-95.74043708,44.41229814,-93.78878598,43.84993423
z134:p45~~p54,100000,0,VSC,0,-95.03227389,42.42197121,-93.97419616,39.67019964
z134:p45~~p68,100000,0,VSC,0,-95.03227389,42.42197121,-93.78878598,43.84993423
z134:p45~~p69,100000,0,VSC,0,-95.03227389,42.42197121,-92.13437773,42.92060401
z134:p45~~p70,100000,0,VSC,0,-95.03227389,42.42197121,-92.64864641,41.54815458
z134:p46~~p68,100000,0,VSC,0,-91.36892425,45.47227184,-93.78878598,43.84993423
z134:p46~~p74,100000,0,VSC,0,-91.36892425,45.47227184,-88.14757936,46.39738399
z134:p46~~p75,100000,0,VSC,0,-91.36892425,45.47227184,-88.85996946,45.20926475
z134:p46~~p76,100000,0,VSC,0,-91.36892425,45.47227184,-89.1038466,44.08576245
z134:p46~~p77,100000,0,VSC,0,-91.36892425,45.47227184,-90.52129625,43.41085624
z134:p47~~p48,100000,0,VSC,0,-103.91132463,33.46127096,-101.7996265,34.84980919
z134:p48~~p49,100000,0,VSC,0,-101.7996265,34.84980919,-101.49888204,36.75146918
z134:p48~~p50,100000,0,VSC,0,-101.7996265,34.84980919,-97.47898472,35.29751298
