name,from_lon,from_lat,to_lon,to_lat,polarity,voltage,cost_MUSD,length_miles
z134:p31~~p87,-106.59023968,34.6065333,-89.93377714,32.30945125,dc,500,2256.23,1032.93
z134:p32~~p38,-103.3188474,44.05686287,-99.80784462,44.48705973,dc,500,401.84,184.36
z134:p33~~p34,-105.87875049,40.04403731,-105.27644256,38.11411763,dc,500,728.13,148.77
z134:p33~~p37,-105.87875049,40.04403731,-99.0387572,47.69809765,dc,500,1866.16,719.24
z134:p33~~p38,-105.87875049,40.04403731,-99.80784462,44.48705973,dc,500,1364.47,481.74
z134:p33~~p45,-105.87875049,40.04403731,-95.03227389,42.42197121,dc,500,1732.31,651.01
z134:p33~~p53,-105.87875049,40.04403731,-97.49793745,38.39157084,dc,500,1432.98,511.54
z134:p33~~p54,-105.87875049,40.04403731,-93.97419616,39.67019964,dc,500,1766.68,666.88
z134:p33~~p61,-105.87875049,40.04403731,-102.52534008,30.80627576,dc,500,1863.58,713.33
z134:p33~~p80,-105.87875049,40.04403731,-88.78740634,41.76755631,dc,500,2421.45,958.59
z134:p33~~p81,-105.87875049,40.04403731,-89.78738098,39.32261591,dc,500,2275.85,895.56
z134:p33~~p85,-105.87875049,40.04403731,-92.02206131,34.67614755,dc,500,2336.02,924.21
z134:p34~~p52,-105.27644256,38.11411763,-101.03458436,38.75868385,dc,500,599.61,244.26
z134:p35~~p36,-105.02376919,47.140418,-102.05522753,47.14542311,dc,500,308.99,144.73
z134:p36~~p37,-102.05522753,47.14542311,-99.0387572,47.69809765,dc,500,334.98,156.83
z134:p36~~p38,-102.05522753,47.14542311,-99.80784462,44.48705973,dc,500,488.55,229.78
z134:p37~~p103,-99.0387572,47.69809765,-84.61125526,43.8762499,dc,500,2264.24,1002.28
z134:p37~~p112,-99.0387572,47.69809765,-82.80095864,40.13748215,dc,500,2303.81,1032.74
z134:p37~~p38,-99.0387572,47.69809765,-99.80784462,44.48705973,dc,500,507.88,238.54
z134:p37~~p41,-99.0387572,47.69809765,-96.33443022,40.9564524,dc,500,1125.19,520.74
z134:p37~~p42,-99.0387572,47.69809765,-95.4965009,48.01572924,dc,500,378.66,174.48
z134:p37~~p43,-99.0387572,47.69809765,-93.66196443,46.24990794,dc,500,653.92,300.29
z134:p37~~p50,-99.0387572,47.69809765,-97.47898472,35.29751298,dc,500,1930.09,890.1
z134:p37~~p80,-99.0387572,47.69809765,-88.78740634,41.76755631,dc,500,1503.49,678.55
z134:p37~~p92,-99.0387572,47.69809765,-86.34952583,35.85850386,dc,500,2413.7,1079.74
z134:p38~~p103,-99.80784462,44.48705973,-84.61125526,43.8762499,dc,500,2152.8,955.57
z134:p38~~p112,-99.80784462,44.48705973,-82.80095864,40.13748215,dc,500,2191.72,985.94
z134:p38~~p39,-99.80784462,44.48705973,-102.67501629,41.72626681,dc,500,527.82,247.34
z134:p38~~p40,-99.80784462,44.48705973,-99.17013321,41.52133825,dc,500,469.6,219.58
z134:p38~~p43,-99.80784462,44.48705973,-93.66196443,46.24990794,dc,500,758.59,349.79
z134:p38~~p44,-99.80784462,44.48705973,-95.74043708,44.41229814,dc,500,442.93,204.32
z134:p38~~p45,-99.80784462,44.48705973,-95.03227389,42.42197121,dc,500,651.07,297.68
z134:p38~~p50,-99.80784462,44.48705973,-97.47898472,35.29751298,dc,500,1491.3,688.06
z134:p38~~p63,-99.80784462,44.48705973,-97.11394036,32.36521363,dc,500,1959.17,900.82
z134:p38~~p76,-99.80784462,44.48705973,-89.1038466,44.08576245,dc,500,1206.34,543.23
z134:p38~~p80,-99.80784462,44.48705973,-88.78740634,41.76755631,dc,500,1392.13,631.84
z134:p38~~p87,-99.80784462,44.48705973,-89.93377714,32.30945125,dc,500,2346.07,1065.83
z134:p38~~p92,-99.80784462,44.48705973,-86.34952583,35.85850386,dc,500,2179.69,976.28
z134:p39~~p40,-102.67501629,41.72626681,-99.17013321,41.52133825,dc,500,403.81,188.91
z134:p3~~p14,-118.4775817,47.8997302,-116.62286863,47.60393639,dc,500,253.39,104.17
z134:p3~~p17,-118.4775817,47.8997302,-113.58090985,46.78287505,dc,500,1022.65,283.36
z134:p3~~p4,-118.4775817,47.8997302,-119.54845201,47.41580274,dc,500,143.62,66.3
z134:p3~~p5,-118.4775817,47.8997302,-120.84858533,44.8758229,dc,500,547.6,249.1
z134:p40~~p41,-99.17013321,41.52133825,-96.33443022,40.9564524,dc,500,354.43,163.19
z134:p40~~p45,-99.17013321,41.52133825,-95.03227389,42.42197121,dc,500,520.35,237.24
z134:p40~~p52,-99.17013321,41.52133825,-101.03458436,38.75868385,dc,500,495.87,231.82
z134:p41~~p105,-96.33443022,40.9564524,-86.25403168,40.72629479,dc,500,1202.56,530.54
z134:p41~~p45,-96.33443022,40.9564524,-95.03227389,42.42197121,dc,500,299.52,129.87
z134:p41~~p53,-96.33443022,40.9564524,-97.49793745,38.39157084,dc,500,440.73,204.1
z134:p41~~p54,-96.33443022,40.9564524,-93.97419616,39.67019964,dc,500,353.99,161.14
z134:p41~~p61,-96.33443022,40.9564524,-102.52534008,30.80627576,dc,500,1809.97,845.09
z134:p41~~p70,-96.33443022,40.9564524,-92.64864641,41.54815458,dc,500,470.88,208.27
z134:p41~~p80,-96.33443022,40.9564524,-88.78740634,41.76755631,dc,500,938.91,416.41
z134:p41~~p81,-96.33443022,40.9564524,-89.78738098,39.32261591,dc,500,859.21,389.68
z134:p41~~p85,-96.33443022,40.9564524,-92.02206131,34.67614755,dc,500,1197.61,534.13
z134:p41~~p94,-96.33443022,40.9564524,-83.43553366,32.63997261,dc,500,2169.44,966.04
z134:p42~~p43,-95.4965009,48.01572924,-93.66196443,46.24990794,dc,500,391.04,168.51
z134:p43~~p105,-93.66196443,46.24990794,-86.25403168,40.72629479,dc,500,1318.94,577.73
z134:p43~~p44,-93.66196443,46.24990794,-95.74043708,44.41229814,dc,500,377.77,170.82
