r,md5,node_lat,node_lon
p08025,447d4ee1bc1a9c8abd242d7aa0f77f92,38.32659012,-103.78483803
p08027,7eb2b0aefbff81ff68ee482597a991be,38.1086912,-105.36740592
p08029,4ea90ea66dfbeb9d990de4a6d545fbca,38.8613838,-107.86319764
p08031,393708e521b7f0ef63342d1eb1738d2b,39.76197579,-104.87599912
p08033,dc5df20b92fd1e6caed4be83261d525f,37.7519664,-108.51730714
p08035,12a2edc8dcc0f34e4e427ff0b78343c3,39.32966753,-104.92947043
p08037,5508565e903540636d7dac942330db68,39.62771243,-106.69514932
p08039,aa5cafb6fcf1940e22e67fc3b9341cd4,39.28637807,-104.13525904
p08041,4e8faade6a9aefd982c98e4615e4f13e,38.83198611,-104.52541609
p08043,e0402b53c67db4d0eba5930069fcf830,38.47319726,-105.43944314
p08045,64ec217de50340b9e34a664f2c915ba5,39.60022135,-107.90518768
p08047,4b6671edd95042c93748edc0cd77a1ae,39.8575374,-105.5225862
p08049,b10eca9df573fa1e8e8323d50b6fc188,40.10250876,-106.11815334
p08051,e5803b539603d8eab76b510281b0929a,38.66633296,-107.03187795
p08053,ac1ce60e53dcb5e2576afe47872a6c3c,37.82080299,-107.30036272
p08055,67ec8ee779b20b766593d37210c6bd2a,37.68465884,-104.9605135
p08057,9d8f28a68408298dc2bc1e3b29b3f3ed,40.66610343,-106.34237202
p08059,afbfcecf571fbc13419f3bfd386cee97,39.58587612,-105.2506375
p08061,26b89a72343514f613dadeac56d394de,38.43323487,-102.74048003
p08063,564e08df15dae332266f8357574220a7,39.30552316,-102.60291242
p08065,b58cf194a78301f90b872fabdea44c87,39.20231025,-106.34490954
p08067,95ecff3b1be02af2d7c5c1c21c21b941,37.28636069,-107.84356141
p08069,bf945eb10d79d613f331025f3f89c35a,40.66613761,-105.460755
p08071,ce53ba7ff9f10f54d5646d766584cefa,37.31659359,-104.0391079
p08073,afd95c839fca71b7c719da236f55024a,38.98694825,-103.5146071
p08075,dd826487f248c55e39e0e4e817718dc7,40.72454627,-103.11006472
p08077,f8819c58f00a869e96abfdabd9d6b615,39.01811551,-108.46770892
p08079,9f9788e7a8c43e50aee22707afe7c546,37.6687324,-106.92406063
p08081,6e04fee690496f6102408bcf2e38cdd2,40.61859992,-108.20746315
p08083,52c68b272cae195b23f41d44f79cf599,37.33829852,-108.59703028
p08085,1e18e566ea7cb5bdedbf32b14a047d83,38.40265074,-108.27018922
p08087,00b3b9a380f1c242c76c2559e9304041,40.26256173,-103.80982908
p08089,c715a506a5b7716b159c3df6ad251338,37.90255418,-103.71655684
p08091,7f35410a663aeed9861ce313a08bbcf0,38.15539558,-107.76914486
p08093,0ccde2bbf5aee850d89169fc695d79f0,39.11877478,-105.71711821
p08095,931ab903b6cef82757a1700dd88caed1,40.59388802,-102.35758459
p08097,02dd271b94e554b4f38e2a7594edcc59,39.21722547,-106.91646308
p08099,f0fc8eb44f8913bfa47388579dbc96f4,37.95491789,-102.39335504
p08101,8ca1065364605c9895d3dad6f9841910,38.17322121,-104.51277699
p08103,8f6a0847b912b811aba7b6749926f075,39.98057393,-108.21791924
p08105,0ec21813c19c681db52835da468f4a84,37.58253205,-106.38315538
p08107,55eefb5380707c04b607142246dec657,40.4840309,-106.9907933
p08109,7bc04124830aab747d5790ec88ae0cd3,38.08070663,-106.28085996
p08111,cdad3865322149ec9f77712ed6890a6f,37.76401178,-107.67622546
p08113,93758757dd26b666ce74119254768350,38.00418336,-108.40570427
p08115,8c271459b5eb50934fa180b37bedca9a,40.87594192,-102.35179046
p08117,3df5778c3a862db6323c55e81d1e9227,39.6339515,-106.11604889
p08119,67e7c5c66936ad8dcd1d7ba98f1a94f2,38.88220221,-105.16171013
p08121,9c8cfbce4b10ccff85cd521e87628805,39.97038761,-103.2016372
p08123,be1e96285160d90cdf41943acc1499b9,40.55415927,-104.3937185
p08125,363e2ecc54594e3b4da6d8d513ac63a6,40.00216471,-102.42425282
p09110,830bdb7e67bcdea716f7b0791f838ecb,41.81843699,-72.57215052
p09120,a28008d24a2ef642db0e0eb559c963ab,41.24274894,-73.23146379
p09130,aef91836124b2562ff1cd47ba8993cea,41.44986945,-72.50710584
p09140,141a45248a12d80486900a61f0d9a262,41.52300593,-73.08611952
