*t,st,Value
2047,NV,0.856695
2048,NV,0.880671
2049,NV,0.904648
2050,NV,0.928624
2010,NY,0.237285
2011,NY,0.248635
2012,NY,0.261505
2013,NY,0.262447
2014,NY,0.273079
2015,NY,0.280684
2016,NY,0.283017
2017,NY,0.292182
2018,NY,0.291052
2019,NY,0.307862
2020,NY,0.341626
2021,NY,0.355642
2022,NY,0.362222
2023,NY,0.404444
2024,NY,0.446667
2025,NY,0.488889
2026,NY,0.531111
2027,NY,0.573333
2028,NY,0.615556
2029,NY,0.657778
2030,NY,0.700000
2031,NY,0.720000
2032,NY,0.751111
2033,NY,0.782222
2034,NY,0.813333
2035,NY,0.844445
2036,NY,0.875556
2037,NY,0.906667
2038,NY,0.937778
2039,NY,0.968889
2040,NY,1
2041,NY,1
2042,NY,1
2043,NY,1
2044,NY,1
2045,NY,1
2046,NY,1
2047,NY,1
2048,NY,1
2049,NY,1
2050,NY,1
2010,OR,0
2011,OR,0.034395
2012,OR,0.034437
2013,OR,0.034380
2014,OR,0.034356
2015,OR,0.103117
2016,OR,0.101922
2017,OR,0.099957
2018,OR,0.098935
2019,OR,0.097774
2020,OR,0.135196
2021,OR,0.133309
2022,OR,0.131334
2023,OR,0.129124
2024,OR,0.183127
2025,OR,0.237131
2026,OR,0.291134
2027,OR,0.345137
2028,OR,0.399140
2029,OR,0.453144
2030,OR,0.507147
2031,OR,0.519834
2032,OR,0.532521
2033,OR,0.545207
2034,OR,0.557894
2035,OR,0.570584
2036,OR,0.583268
2037,OR,0.595955
2038,OR,0.608641
2039,OR,0.621328
2040,OR,0.634015
2041,OR,0.634017
2042,OR,0.634019
2043,OR,0.634021
2044,OR,0.634022
2045,OR,0.634024
2046,OR,0.634025
2047,OR,0.634026
2048,OR,0.634028
2049,OR,0.634029
2050,OR,0.634030
2010,VA,0
2011,VA,0
2012,VA,0
2013,VA,0
2014,VA,0
2015,VA,0
2016,VA,0
2017,VA,0
2018,VA,0
2019,VA,0
2020,VA,0
2021,VA,0.275161
2022,VA,0.273110
2023,VA,0.289299
2024,VA,0.302711
2025,VA,0.316124
2026,VA,0.329536
2027,VA,0.342948
2028,VA,0.356360
2029,VA,0.369773
2030,VA,0.383185
2031,VA,0.402816
2032,VA,0.422373
2033,VA,0.437410
2034,VA,0.454593
2035,VA,0.472445
2036,VA,0.497354
2037,VA,0.515848
2038,VA,0.537550
2039,VA,0.559251
2040,VA,0.581670
2041,VA,0.603376
2042,VA,0.625353
2043,VA,0.647387
2044,VA,0.669654
2045,VA,0.697004
2046,VA,0.700722
2047,VA,0.704446
2048,VA,0.708177
2049,VA,0.711913
2050,VA,0.715653
2010,WA,0
2011,WA,0
2012,WA,0.024046
2013,WA,0.023797
2014,WA,0.024033
2015,WA,0.024399
2016,WA,0.074048
2017,WA,0.071624
2018,WA,0.074546
2019,WA,0.074237
2020,WA,0.128489
2021,WA,0.126837
2022,WA,0.125714
2023,WA,0.131950
2024,WA,0.255468
2025,WA,0.378985
2026,WA,0.502503
2027,WA,0.626020
2028,WA,0.749538
2029,WA,0.873055
2030,WA,0.996573
2031,WA,0.996671
2032,WA,0.996770
2033,WA,0.996868
2034,WA,0.996966
2035,WA,0.997065
2036,WA,0.997163
2037,WA,0.997261
2038,WA,0.997359
2039,WA,0.997458
2040,WA,0.997556
2041,WA,0.997654
2042,WA,0.997753
2043,WA,0.997851
2044,WA,0.997949
2045,WA,0.998047
2046,WA,0.998146
2047,WA,0.998244
2048,WA,0.998342
2049,WA,0.998453
2050,WA,0.998539
