Year,Utility Name,State,Trn Total Operation Expenses $,Trn Total Maintenance Expenses $,Dis Total Maintenance Expenses $,Dis Total Operation Expenses $,Total Sales Expenses $,Total Customer Srv & Information Expenses $,CAE Total Customer Accounts Expenses $,Total Admin & General Expenses $,Total Regional Trans & Mark Operation Exps  $,A&G Total Operation Expenses $,A&G Oper Injuries & Damages $
2001,Duke Energy Carolinas,NC,25234575,31898808,72346692,68200061,40655,30112637,92326242,600802211,0,597290817,238282971
2000,Duke Energy Carolinas,NC,26379527,23434217,99689356,60999869,-147363,32125493,93807443,594526718,0,591219286,254779223
1999,Duke Energy Carolinas,NC,27257346,22223691,81761196,44824877,200600,41788916,81263339,517592578,0,502608051,224387820
1998,Duke Energy Carolinas,NC,23451407,21881909,80985014,47514481,836743,36571455,78078272,402439789,0,387814679,73817178
1997,Duke Energy Carolinas,NC,28241826,20110683,73145665,57013165,1509085,35627791,76144942,435702674,0,408971836,76102895
1996,Duke Energy Carolinas,NC,16669218,29121702,118124082,54825686,310606,49871710,77687065,366771051,0,344215574,39475919
1995,Duke Energy Carolinas,NC,17156928,25101283,74512563,50120014,166069,57892842,80267687,372120894,0,349492733,49737662
1994,Duke Energy Carolinas,NC,16004385,22219326,64071348,43004770,258574,53333597,67498499,388749689,0,365974486,74356511
2019,Duke Energy Florida,FL,29278224,21537114,104532491,60776807,9127510,100725566,60040425,392183259,0,391638425,10771748
2018,Duke Energy Florida,FL,29480650,17022856,90760884,58156531,9055631,107648923,61855000,386505823,0,386336027,7611993
2017,Duke Energy Florida,FL,26702354,19846275,92735426,56813656,7283790,97908038,57717150,217890718,0,217230700,6355211
2016,Duke Energy Florida,FL,17607925,17773097,95778271,53009962,4498719,101995347,59605833,257542292,0,257225853,7760871
2015,Duke Energy Florida,FL,15922086,20572491,96633380,53564079,3657402,83883229,57771040,242876193,0,242338417,8036200
2014,Duke Energy Florida,FL,14985255,20856999,96652348,50175435,2331175,115469452,45017884,260804265,0,260683943,10480344
2013,Duke Energy Florida,FL,16930780,24305747,69561504,65468035,1936993,94825073,46992183,279601669,0,277470965,8673304
2012,Duke Energy Florida,FL,14271790,24879224,65163338,64474307,2166844,90590022,45338839,369280521,0,365470561,10945924
2011,Duke Energy Florida,FL,14065871,25969875,64486671,68053539,1516750,100551245,42196453,268197101,0,264732639,12898019
2010,Duke Energy Florida,FL,14313984,20824841,78174438,64189470,1333482,94709136,48889015,301776844,0,298427858,17392685
2009,Duke Energy Florida,FL,15498247,20483294,64210189,67306036,1252670,76889404,54833333,214751956,0,211970312,9338915
2008,Duke Energy Florida,FL,17489968,20138762,71774116,71586257,1774613,71494001,49943267,256097678,0,265143985,8882337
2007,Duke Energy Florida,FL,21725564,14303456,67737391,77461423,1964040,72297731,51048997,292969080,0,269689539,13570940
2006,Duke Energy Florida,FL,22048765,14326395,63302582,66347726,2363903,64707351,50355998,190260852,0,194848639,6124390
2005,Duke Energy Florida,FL,21453071,10890841,66855003,64502499,2364282,63875881,53933450,315130232,0,306221799,18199749
2004,Duke Energy Florida,FL,16229848,10486184,25947544,58996039,2239368,64122945,49448305,188918635,0,188134653,6879262
2003,Duke Energy Florida,FL,15981418,11677554,36678278,56285589,4506340,65427024,47569877,192607162,0,196580338,7957680
2002,Duke Energy Florida,FL,20169680,11329202,14631127,67320752,5282693,67776159,51392889,152985718,0,146517586,5181820
2001,Duke Energy Florida,FL,22098147,10496029,26781596,45904596,10944103,62173520,71152592,41919471,0,41318008,6051056
2000,Duke Energy Florida,FL,17555371,12509865,25960954,51281766,12905044,68013955,55050019,126318087,0,125780215,10362164
1999,Duke Energy Florida,FL,23174903,10191325,27373093,49270104,14798252,84968640,58534290,60691398,0,59924251,10738333
1998,Duke Energy Florida,FL,12940557,9982932,29133742,37082210,11908591,82973979,55039122,90707915,0,90050115,14961030
1997,Duke Energy Florida,FL,6530020,8829543,27606739,32824237,9697077,70347218,50165972,102025022,0,101261968,9091063
1996,Duke Energy Florida,FL,8606539,7936772,23763909,29245902,6338944,67704571,53231106,106900780,0,106172581,8273692
1995,Duke Energy Florida,FL,5883996,7664010,19876944,32098898,187704,89395358,43089677,107578783,0,104570490,9367996
1994,Duke Energy Florida,FL,5850837,7431675,25823090,28051343,854138,111447017,34558436,127512477,0,124119227,6583422
2019,Duke Energy Indiana,IN,95684756,15133592,70532921,47675240,4787098,3975127,26526024,148810031,7541986,148165118,3568400
2018,Duke Energy Indiana,IN,81190208,10302510,76716706,39790823,5004169,4509473,30124044,148038894,6138910,147773847,3663984
2017,Duke Energy Indiana,IN,66494242,15990372,69134920,30405814,4235923,4662022,29239866,140185443,5099811,139345846,4665804
2016,Duke Energy Indiana,IN,61391003,15159392,60109946,39569981,3559724,5086697,27490706,152284375,5608788,151377692,5221886
2015,Duke Energy Indiana,IN,48209058,14645950,57270792,33923241,2884178,5650986,41013524,161177793,5368532,159988188,2363020
2014,Duke Energy Indiana,IN,36692026,12958628,50432771,31688099,2208705,6905178,40233286,155382811,6067063,154326685,7309683
2013,Duke Energy Indiana,IN,29733448,16454484,49741833,29222945,270126,11036350,39353154,197917107,6559525,196867943,1975373
2012,Duke Energy Indiana,IN,27344129,10390171,42988619,29675067,247011,14287784,43912455,219518935,7133171,218230141,6744574
2011,Duke Energy Indiana,IN,23255423,12387156,77088810,29902370,322941,13514150,52027691,200833052,6996789,199246012,4846795
2010,Duke Energy Indiana,IN,24350891,16659824,29160185,29868819,172514,9875339,49300874,231343177,7719818,227044477,1202793
2009,Duke Energy Indiana,IN,18100832,12727372,55593776,33435628,47167,6179999,43309901,211376198,6988758,206450918,5925388
2008,Duke Energy Indiana,IN,21038634,15008034,59847446,25390400,220899,6968906,41110607,224943849,6625374,221949810,6278554
2007,Duke Energy Indiana,IN,20370234,12240808,31102277,14599157,9543974,7551185,43792306,263364542,7031872,258369946,9226305
2006,Duke Energy Indiana,IN,18859487,13334610,35026669,10608556,3862311,6087857,42879930,272087159,-59325,268688951,5578038
2005,Duke Energy Indiana,IN,16103132,12826989,34347142,11398502,2281698,5563091,34915905,213931986,0,210259793,5936257
2004,Duke Energy Indiana,IN,14798893,13140567,30950652,11640913,7973084,3925356,31495908,204790884,0,200334893,7010516
2003,Duke Energy Indiana,IN,9322884,12885401,33810089,9535127,7456217,4488331,32004982,188190695,0,182454432,5304858
2002,Duke Energy Indiana,IN,24228316,9592344,28599348,9400125,13159373,73718,36621112,199379738,0,194559132,8041181
2001,Duke Energy Indiana,IN,13428651,10022762,29189792,9490404,-1846032,137639,29985395,148050795,0,143025108,3530303
2000,Duke Energy Indiana,IN,31774446,8005098,28809492,8136761,23210338,123044,26921245,163481151,0,158881511,2031462
1999,Duke Energy Indiana,IN,22200662,7920423,25756317,9432730,42806093,154601,31770321,141075567,0,135436642,3142423
1998,Duke Energy Indiana,IN,26271225,6221650,27321358,10345875,41800338,290787,27357774,214240601,0,209398518,2960123
1997,Duke Energy Indiana,IN,11682691,5889139,24732536,9991633,49640123,1035976,25957801,155760030,0,150876500,1199876
1996,Duke Energy Indiana,IN,11569609,7541788,26276682,13046220,38257883,3559532,18616228,135402747,0,130651876,3639246
1995,Duke Energy Indiana,IN,5827919,6462851,24528124,11307520,30858702,3240111,17112214,125577580,0,121119755,3276858
1994,Duke Energy Indiana,IN,4998787,7345684,26094210,11488357,6549386,4190817,16920622,136633034,0,131450747,5212859
2019,Duke Energy Kentucky,OH,21083917,697606,10715601,4961376,1224963,510822,4481412,21938487,1849880,21918336,763533
2018,Duke Energy Kentucky,OH,11823483,850657,9359082,5139327,1212383,592919,4994539,20261581,1689716,20258785,733670
2017,Duke Energy Kentucky,OH,16572760,673272,13100609,5089374,888616,592501,5442287,19496653,1870407,19478520,1001114
2016,Duke Energy Kentucky,OH,18436340,981205,7329955,5598933,905459,673046,6218279,19369738,1731904,19353491,884894
2015,Duke Energy Kentucky,OH,15319122,864789,7479294,4969164,908813,563051,6598617,20731564,1707710,20688344,396553
2014,Duke Energy Kentucky,OH,12959072,883341,6583829,5085552,553189,974702,6645224,18598709,1598163,18458088,471016
2013,Duke Energy Kentucky,OH,9575432,654334,5780559,4492060,51349,1505690,6495029,23631896,1580293,23573454,572066
2012,Duke Energy Kentucky,OH,12594396,882035,6085468,4009049,46295,1672488,7195426,28216569,1339759,28094003,412085
2011,Duke Energy Kentucky,OH,33221318,582005,4980586,4439004,74802,1831807,8893619,23131079,908830,23020585,538632
2010,Duke Energy Kentucky,OH,20441292,1038230,4714545,4024973,80617,254730,9059704,28974993,937155,28508414,649162
2009,Duke Energy Kentucky,OH,19535386,552538,5432236,4550883,10395,862005,7379755,24396426,979808,23895814,-990367
2008,Duke Energy Kentucky,OH,19849502,482965,5496986,3223320,555,1000547,6741609,29024207,794621,28542902,370848
2007,Duke Energy Kentucky,OH,20517492,259818,4958162,2121553,-34,881263,6957300,29467387,750811,29006363,223515
2006,Duke Energy Kentucky,OH,16809144,168810,3984327,2023599,1641714,589235,6795479,26544211,573375,26162510,711452
2005,Duke Energy Kentucky,OH,18375004,209112,3512715,2140128,1790713,646834,7227874,11326697,0,11072265,432183
2004,Duke Energy Kentucky,OH,15846674,193190,4982703,1878856,-153930,364736,5993193,9457385,0,9168785,291947
2003,Duke Energy Kentucky,OH,13616292,124931,3339857,1775248,1363171,416810,5992485,10297227,0,9922584,688112
2002,Duke Energy Kentucky,OH,15743086,140582,1692269,1855817,603129,84737,5579080,9180246,0,8835361,178245
2001,Duke Energy Kentucky,OH,301976,171492,2382558,2029991,3986731,83587,5354536,8220351,0,7746567,250804
2000,Duke Energy Kentucky,OH,320525,145046,2746840,1734455,1327212,76439,5215004,8674703,0,8192359,-243239
1999,Duke Energy Kentucky,OH,361721,323418,3016615,1990285,1581703,220429,5119892,9735608,0,9348814,333260
1998,Duke Energy Kentucky,OH,391940,227087,2820058,1917885,1622661,217006,4541746,9450997,0,9029610,623788
1997,Duke Energy Kentucky,OH,504949,227430,3118358,1943819,1460929,385637,4048397,8691570,0,8498790,434720
1996,Duke Energy Kentucky,OH,618721,203785,2662850,2409379,243177,1011242,4775775,7705169,0,7508383,528875
1995,Duke Energy Kentucky,OH,320287,83285,2572015,2961925,149141,926704,5509459,7513073,0,7139714,585478
1994,Duke Energy Kentucky,OH,323822,93945,3375063,3412775,212022,1177032,5290016,7262652,0,7051627,562237
2019,Duke Energy Ohio,OH,34421020,8235436,52803455,30351825,3903157,3242014,23802700,61497642,-68,61130350,5202152
2018,Duke Energy Ohio,OH,-1181910,8996530,48252763,31320830,4033616,2744383,22327227,52110271,7,51802917,4320630
2017,Duke Energy Ohio,OH,39758753,8318473,61535675,32794295,3288634,3481064,21576391,56553277,64604,54988644,3085417
2016,Duke Energy Ohio,OH,40014131,10333749,46375831,35660613,3041534,3709619,23015861,54281296,45313,52889121,2589015
2015,Duke Energy Ohio,OH,23240364,8736337,40712107,27518501,2952607,3640069,29238668,86660274,85662,84483855,2495912
2014,Duke Energy Ohio,OH,25463635,7848662,37601155,25166678,1699509,4769185,26830084,80542376,660175,78778891,3190669
2013,Duke Energy Ohio,OH,18100326,7023735,34796796,22747606,318373,7122350,30149893,143718447,1136263,142130317,4838893
2012,Duke Energy Ohio,OH,4165087,7041651,45542601,22471239,471937,10370300,25452971,158865918,1305899,160019401,5135452
2011,Duke Energy Ohio,OH,32225093,6654859,36963230,23272368,410432,15641325,34658860,160991725,3172010,157533753,5692907
2010,Duke Energy Ohio,OH,11651151,6308345,44999337,20675654,350463,8733599,50773329,201656909,4044628,198686695,6404639
2009,Duke Energy Ohio,OH,16276688,8863517,34123944,23281607,71005,4102316,42813882,211028982,5264235,207072067,5581620
2008,Duke Energy Ohio,OH,10519435,3761013,35743780,17883425,2360,4871627,56488266,219242402,4342328,216368086,11881822
2007,Duke Energy Ohio,OH,14659302,5542300,34718272,14660999,10510,5663082,43717919,243356685,4364289,239951155,7204198
2006,Duke Energy Ohio,OH,9956802,4786121,24384258,10623220,55169,3713144,43696060,258179522,3791007,255040302,9466585
2005,Duke Energy Ohio,OH,23037350,6883833,24928624,11588351,669098,4490815,43364982,207685017,0,204811025,6001374
2004,Duke Energy Ohio,OH,22224291,5378063,28223172,11477621,2064386,2315643,33516864,177461933,0,174182055,5016726
2003,Duke Energy Ohio,OH,10110266,4170116,22678145,11817534,1888235,2389411,31052120,142272528,0,138333012,3274634
2002,Duke Energy Ohio,OH,41315753,4767900,21680370,11708781,4032581,710895,29719933,159409819,0,155054883,3261695
2001,Duke Energy Ohio,OH,2037833,4797599,22701297,13013853,5962431,554179,30439026,113281836,0,108272646,2746414
2000,Duke Energy Ohio,OH,18987135,4231176,20930488,11580239,9382064,1176919,36222376,128441878,0,124825319,2211331
1999,Duke Energy Ohio,OH,9052760,3872371,20606713,11255756,9474542,2719755,35508823,104220030,0,100348844,2396817
1998,Duke Energy Ohio,OH,8948522,3678932,18840322,13199509,9723153,3189985,33904473,83396140,0,80239299,1725497
1997,Duke Energy Ohio,OH,6277991,4675579,19103833,11543473,5823089,7008098,32072577,97803414,0,96013672,3005382
1996,Duke Energy Ohio,OH,6695519,4380434,20324072,14308949,2227257,7656149,32489890,121242406,0,118877358,4560787
1995,Duke Energy Ohio,OH,5544935,3213978,21737802,21880714,720324,10125933,37030346,80200461,0,78506430,3229923
1994,Duke Energy Ohio,OH,5584366,4330554,24759624,24907445,878157,11543865,37084377,105564561,0,103881899,3505281
2019,Duke Energy Progress,NC,19117306,21950924,117980486,56469880,8148855,3568079,55749667,319693610,0,319409222,9765326
2018,Duke Energy Progress,NC,17808662,21027150,144596082,55449099,7874227,3586028,56084358,383438701,0,382754438,6373182
2017,Duke Energy Progress,NC,19414672,19394670,95489805,58008622,6207508,4082740,46976595,314453093,0,313695984,10215504
2016,Duke Energy Progress,NC,15067819,31415217,116091977,49815030,6307285,4480319,47899545,340665951,0,339268413,16348146
2015,Duke Energy Progress,NC,16932201,21786583,93914813,44720717,5624019,3707635,52930105,299516247,0,299975349,18324398
2014,Duke Energy Progress,NC,15887968,38447798,135867076,42455300,4171038,4645844,35098527,329732329,0,328650548,8879587
2013,Duke Energy Progress,NC,19200984,42217966,74823155,55290722,1799627,51420364,44157064,349516924,0,350350790,10514787
2012,Duke Energy Progress,NC,36500381,29378037,67496044,56382207,1537522,41264718,37688577,424956075,0,419774138,10868773
2011,Duke Energy Progress,NC,53649570,20765795,85140712,59064159,1022761,46612054,41920277,304990848,0,302864900,12347116
2010,Duke Energy Progress,NC,44494806,18227180,58840343,56724716,1365059,41926601,42629537,302204137,0,298077713,11486738
2009,Duke Energy Progress,NC,39800316,19334099,60972215,57421444,3646748,20238096,47763947,282302365,0,279027818,12807623
2008,Duke Energy Progress,NC,43520023,14827760,43686027,61881357,3220911,11000984,45175352,289345025,0,285798665,9257153
2007,Duke Energy Progress,NC,43272393,13483664,50312378,61587415,4590270,5990975,46350745,274337336,0,269167999,11034531
2006,Duke Energy Progress,NC,37343492,8456459,43762349,56263540,4240990,5178997,47528723,278373578,0,273054938,9726663
2005,Duke Energy Progress,NC,36037825,8995743,44776694,62827757,4302669,5831279,51017105,306937212,0,303791977,10223527
2004,Duke Energy Progress,NC,36289990,9375097,46535377,56802007,5803035,5594000,55241101,277020298,0,274584601,7442831
2003,Duke Energy Progress,NC,45705774,8681946,28426396,36161082,11017491,6411111,58573007,244488921,0,238551700,6766016
2002,Duke Energy Progress,NC,44624074,9089787,55224723,36200549,12847577,4274268,55130266,235257013,0,227945413,4562103
2001,Duke Energy Progress,NC,40719358,9573233,28812302,30224959,14356145,3880620,55130387,191931355,0,184629613,2233635
2000,Duke Energy Progress,NC,30940300,9645784,34196652,28827689,7780641,17849390,52730792,234953059,0,225001911,2917531
1999,Duke Energy Progress,NC,28168464,10355556,53987645,26896662,7782217,30192680,42931415,188212841,0,175858863,4550423
1998,Duke Energy Progress,NC,29916785,7630880,36437614,24690763,7713917,33539108,43848503,154708494,0,144086963,2324191
1997,Duke Energy Progress,NC,12219003,7338450,26196437,26217736,8774844,24940359,42976537,194629503,0,190400103,3428290
1996,Duke Energy Progress,NC,9019145,7702177,36402279,33041452,12608274,19466067,49859605,216204852,0,211494506,4932285
1995,Duke Energy Progress,NC,8023869,7772444,32002238,38028719,13287926,14357052,48881738,210444861,0,205224645,3647609
1994,Duke Energy Progress,NC,7103288,8837044,34821353,34316509,4764127,18168449,55702974,182505022,0,178867861,4498552
2019,Duquesne Light Co,PA,7482899,4429324,29955406,18934392,0,22746203,22996497,127280165,0,115279217,520563
2018,Duquesne Light Co,PA,7566334,4665875,26965417,17538816,0,38892401,27954603,119677190,0,105988888,1278273
2017,Duquesne Light Co,PA,8057064,4647229,25582856,15940535,0,36875201,26498952,114465189,0,102523955,797935
2016,Duquesne Light Co,PA,6924780,3821734,32169353,15697191,0,34761182,28333965,120523853,0,109512793,584253
2015,Duquesne Light Co,PA,4912326,5183441,28469579,14736789,0,41641910,31620244,115862123,0,104527054,1175795
2014,Duquesne Light Co,PA,3692027,5208075,27903046,14155888,0,25728690,24116407,104952668,0,92599852,740965
2013,Duquesne Light Co,PA,4421624,5064647,25766533,13527832,0,29038390,20307410,101997398,0,90586302,1045155
2012,Duquesne Light Co,PA,4664785,4433543,22360891,12526801,0,23492017,23034627,95753815,0,85053818,1220058
2011,Duquesne Light Co,PA,4136431,5183890,20317303,13180462,0,22941658,24961796,86518634,0,76421467,787133
2010,Duquesne Light Co,PA,3235608,3634382,26756520,12829169,0,27359161,27237767,70783410,0,60840222,457319
2009,Duquesne Light Co,PA,2323927,4122733,18205489,9930856,0,2606934,24469306,80414449,0,71903302,1130678
2008,Duquesne Light Co,PA,6902706,3207255,15649033,12769514,0,2520089,19481481,84369735,7130,76241473,2042109
2007,Duquesne Light Co,PA,5543688,1848447,14388739,12787341,0,2604716,33676827,110891942,512727,102483282,755740
2006,Duquesne Light Co,PA,4146105,2973739,15870397,13125502,0,2249978,29115784,85829489,445821,77474973,6771462
2005,Duquesne Light Co,PA,4325861,2641447,16668027,13742466,0,670491,32864782,79299854,0,71252328,6761890
2004,Duquesne Light Co,PA,10551555,2591432,15133865,12480621,0,3399365,25157576,64873870,0,57634186,6546530
2003,Duquesne Light Co,PA,10452191,1554883,15738355,12884490,0,3210161,24823421,58469000,0,52110674,4082478
2002,Duquesne Light Co,PA,10786072,1901575,14452367,12643951,5025,3068492,39156527,41929564,0,36809835,1827162
2001,Duquesne Light Co,PA,11024898,2136062,15980894,8393162,268888,1521763,27852318,69742079,0,64155009,345736
2000,Duquesne Light Co,PA,10494738,1966795,18790044,18084569,2305895,2348946,37370075,66812823,0,60721167,1590678
1999,Duquesne Light Co,PA,7018790,5151052,16546456,22870582,2975857,3548010,38569543,104883461,0,99341311,318777
1998,Duquesne Light Co,PA,7265978,4824930,21797616,25098739,3035052,1888613,31759215,97315863,0,91914188,812116
1997,Duquesne Light Co,PA,7297533,3263892,16945773,21272835,5871480,1931981,29171098,96648523,0,92224308,2195996
1996,Duquesne Light Co,PA,7528890,3274434,17918102,19153205,4533989,2167629,32496137,91449625,0,88186919,3604775
1995,Duquesne Light Co,PA,7918279,3261940,18337794,18270697,1964382,2235314,31529031,95501875,0,92244284,2408592
1994,Duquesne Light Co,PA,9612088,1447500,20791753,19221585,1920394,1889920,35482378,98820630,0,95485970,3332376
2013,EAM Nelson Holding LLC,LA,193,0,0,129,0,748,19,463849,0,463407,2599
2012,EAM Nelson Holding LLC,LA,94,0,0,246,0,4,63,428268,0,427977,1960
2011,EAM Nelson Holding LLC,LA,0,0,0,0,0,0,0,46560,0,46560,71
2004,East Texas Electric Coop Inc,TX,807379,45119,0,0,0,0,0,3337004,0,3337004,11867
2003,East Texas Electric Coop Inc,TX,829874,42456,0,0,0,0,0,3249205,0,3249205,10467
2002,East Texas Electric Coop Inc,TX,835278,149750,0,0,0,0,0,2323661,0,2323661,9113
2001,East Texas Electric Coop Inc,TX,864339,38061,0,0,0,0,0,2151704,0,2151704,7975
2000,East Texas Electric Coop Inc,TX,837181,235341,0,0,0,0,0,1549245,0,1549245,8583
1999,East Texas Electric Coop Inc,TX,955046,368722,0,0,0,0,0,2268424,0,2268424,8757
1998,East Texas Electric Coop Inc,TX,726266,46218,0,0,0,0,0,2301916,0,2301916,9870
1997,East Texas Electric Coop Inc,TX,193086,0,0,0,0,0,0,2097346,0,2097346,12875
1996,East Texas Electric Coop Inc,TX,194676,0,0,0,0,0,0,1499024,0,1499024,12786
1995,East Texas Electric Coop Inc,TX,200700,0,0,0,0,0,0,1383491,0,1383491,8984
1994,East Texas Electric Coop Inc,TX,151479,0,0,0,0,0,0,992436,0,992436,6709
2000,Eastern Edison Co,MA,53470,64061,1742784,3297265,42044,1311542,3591132,11034619,0,10832328,305041
1999,Eastern Edison Co,MA,248915,174089,5276125,9061752,112562,8565927,7392597,19823329,0,19293007,1338165
1998,Eastern Edison Co,MA,183558,251832,4132520,10196930,106380,8593078,7054414,16864032,0,16343452,598848
1997,Eastern Edison Co,MA,130799,398134,5748092,10401124,127109,6917616,6778636,16417317,0,15848878,1627227
1996,Eastern Edison Co,MA,130900,267351,6616996,10234372,86403,3984211,7308612,14436700,0,13859540,854671
1995,Eastern Edison Co,MA,74921,302055,4429127,10359586,38420,1416123,7290499,15706224,0,15174555,1637995
1994,Eastern Edison Co,MA,47530,403190,4055265,9218758,0,1233920,7638849,15303154,0,14628216,1205198
2009,Edison Sault Electric Co,MI,5934028,0,1533474,744659,0,270448,1282332,3386459,0,3347306,123708
2008,Edison Sault Electric Co,MI,5377442,0,1683721,811787,0,28279,1296747,3168565,0,3140958,12802
2007,Edison Sault Electric Co,MI,5023179,0,1682771,688655,0,32212,1182088,3380517,0,3347834,-794
2006,Edison Sault Electric Co,MI,3914586,0,1527616,601467,0,33035,1034120,3894625,0,3868878,423269
2005,Edison Sault Electric Co,MI,3647299,0,1585066,635372,0,30385,986364,3647823,0,3610662,501949
2004,Edison Sault Electric Co,MI,3352104,0,1438946,658301,0,26882,1172096,3621073,0,3597586,392713
2003,Edison Sault Electric Co,MI,1871685,0,1389755,552995,0,28280,1009070,3733835,0,3696475,323891
2002,Edison Sault Electric Co,MI,2288831,0,1366324,757847,0,23454,1112795,2967111,0,2932608,276371
2001,Edison Sault Electric Co,MI,2014955,0,1357252,745248,0,22725,875149,3207755,0,3171808,371664
2000,Edison Sault Electric Co,MI,219337,127891,1113301,466143,0,23696,873374,2940542,0,2904306,609887
1999,Edison Sault Electric Co,MI,232146,311253,1316091,550755,0,23425,927283,2905345,0,2869479,269449
1998,Edison Sault Electric Co,MI,581979,173373,1246559,462150,0,22853,860456,4160142,0,4127663,515320
1997,Edison Sault Electric Co,MI,285924,232324,1384359,503517,0,24064,952006,6736510,0,6710601,566269
1996,Edison Sault Electric Co,MI,249467,248163,1163041,494274,0,33209,960780,3534251,0,3504091,214420
1995,Edison Sault Electric Co,MI,243944,200163,1145506,478883,0,59318,948528,2985425,0,2960524,217326
1994,Edison Sault Electric Co,MI,235973,205611,1223105,505467,0,53106,959395,3239827,0,3215731,237703
2019,El Paso Electric Co,TX,19828668,2341340,9548436,16147532,0,128197,18885850,123983858,0,115700709,3799548
2018,El Paso Electric Co,TX,19497818,2866321,8315266,14998453,0,126291,19896303,122783141,0,115411162,4137090
2017,El Paso Electric Co,TX,18938999,2138540,8129832,14094542,0,205043,19431888,117862059,0,110930522,4594331
2016,El Paso Electric Co,TX,18332951,2010678,7874264,14794358,0,205493,18853450,116065254,0,109632255,4309021
2015,El Paso Electric Co,TX,16960521,2159098,7552856,15328571,0,222341,19147935,116877842,0,110694299,4144948
2014,El Paso Electric Co,TX,15826678,2028739,7322019,14999305,0,207968,19737102,121061474,0,115503151,5359530
2013,El Paso Electric Co,TX,14693979,2070895,7419508,14320269,0,199670,17602480,125348193,0,120269599,3577666
2012,El Paso Electric Co,TX,13549739,2070789,5796387,15207696,0,203167,19271204,124302577,0,119394586,4145167
2011,El Paso Electric Co,TX,15403710,2035487,5989922,13852109,0,830216,21965042,114137651,0,109560393,4477454
2010,El Paso Electric Co,TX,13524427,2313069,5296978,14072798,0,456361,19569104,107112501,0,102732409,4079658
2009,El Paso Electric Co,TX,14465208,2748711,5015770,14050776,0,878966,14692849,105549076,0,101481190,4194840
2008,El Paso Electric Co,TX,14350417,2718296,6038978,13773208,0,471604,14333692,96457384,0,91273845,4214903
2007,El Paso Electric Co,TX,13956457,2426969,7200128,11661762,0,1033780,14874432,101451460,0,97659635,4735707
2006,El Paso Electric Co,TX,13094362,2517518,6954068,13802646,0,45433,13493326,104832620,0,101102753,6390567
2005,El Paso Electric Co,TX,8774834,1724496,6330989,11472344,42078,461588,10968678,105110407,0,100874816,5420508
2004,El Paso Electric Co,TX,5329888,1410474,6025235,9673005,81886,707252,9670436,107710235,0,104831024,7002620
2003,El Paso Electric Co,TX,5049387,1392268,5870321,9234138,80258,935663,10955576,104318204,0,101162719,8451070
2002,El Paso Electric Co,TX,20832650,1368368,6167817,9246273,76775,1183605,10631708,86433873,0,83313427,3850891
2001,El Paso Electric Co,TX,4945746,1358604,6399739,9212193,75273,1437767,11310033,78754156,0,75663515,4017058
2000,El Paso Electric Co,TX,4356448,1098225,5627173,9134155,69996,1794653,10715343,78479888,0,74781905,2407923
1999,El Paso Electric Co,TX,3671190,812451,5390513,8284358,63874,2408756,10133726,79921192,0,77317793,2189322
1998,El Paso Electric Co,TX,2959302,938780,5005540,8059330,105604,2122114,8112516,93983452,0,91933967,2348433
1997,El Paso Electric Co,TX,3822167,873994,5141875,7880144,0,2543207,8076988,93719492,0,91586517,4048446
1996,El Paso Electric Co,TX,4092617,782008,5079604,8370098,0,2350071,9329966,104423648,0,102388932,5458855
1995,El Paso Electric Co,TX,5377143,678735,4970824,8068083,0,2822116,9108233,67286628,0,65305716,5271108
1994,El Paso Electric Co,TX,6075568,902669,5757525,7883841,0,2421613,7992808,64722359,0,62955760,5742407
2012,Electric Energy Inc,IL,7208972,209770,0,4225,0,0,0,26679294,0,26679294,531270
2011,Electric Energy Inc,IL,7160298,709916,0,21931,0,0,0,18330286,0,18330286,256639
2010,Electric Energy Inc,IL,7136834,222560,0,24002,0,0,0,20088664,0,20088664,90909
2009,Electric Energy Inc,IL,7176934,1211268,0,22294,0,0,87364,20263023,0,20263023,885385
2008,Electric Energy Inc,IL,6817467,327913,0,23486,0,0,246083,17237345,0,17237345,-53653
2007,Electric Energy Inc,IL,6818269,588129,0,18709,0,0,0,16573602,0,16573602,135053
2006,Electric Energy Inc,IL,6705557,977807,0,22668,0,0,0,15504935,0,15504935,246363
2005,Electric Energy Inc,IL,1250376,477779,0,18130,0,0,0,17292063,0,17292063,762087
2004,Electric Energy Inc,IL,1431780,244013,0,22739,0,0,0,13842852,0,13842852,525689
2003,Electric Energy Inc,IL,1294771,329433,0,26180,0,0,0,12911756,0,12911756,638758
2002,Electric Energy Inc,IL,1329779,260246,0,15112,0,0,0,12466658,0,12466658,340366
2001,Electric Energy Inc,IL,1330054,252690,0,20305,0,0,0,10925081,0,10925081,38137
2000,Electric Energy Inc,IL,1224005,902598,0,20575,0,0,0,10086701,0,10086701,332126
1999,Electric Energy Inc,IL,1210192,986591,0,18558,0,0,0,9327499,0,9327499,394475
1998,Electric Energy Inc,IL,1088232,940131,0,18013,0,0,0,10959397,0,10959397,615778
1997,Electric Energy Inc,IL,1050640,334502,0,16380,0,0,0,11133320,0,11133320,791709
1996,Electric Energy Inc,IL,993714,319279,0,16165,0,0,0,10534351,0,10534351,299050
1995,Electric Energy Inc,IL,973771,586172,0,12123,0,0,0,11339963,0,11339963,359586
1994,Electric Energy Inc,IL,722492,988023,0,10209,0,0,0,11136169,0,11136169,420295
2019,Emera Maine,ME,-5710832,2930902,14247679,6837439,0,134283,10059343,9694802,0,8755241,1073794
